Species	gtdb_taxonomy	genus	sp	accession	gtdb_type_species_of_genus	Oxygen tolerance raw	Oxygen tolerance	random_id
Sphingomicrobium lutaoense	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__Sphingomicrobium lutaoense	g__Sphingomicrobium	s__Sphingomicrobium lutaoense	RS_GCF_014195685.1	t	aerobe	aerobe	134
Pseudohoeflea suaedae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pseudohoeflea;s__Pseudohoeflea suaedae	g__Pseudohoeflea	s__Pseudohoeflea suaedae	RS_GCF_004354915.1	t	aerobe	aerobe	129
Fulvivirga kasyanovii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fulvivirga;s__Fulvivirga kasyanovii	g__Fulvivirga	s__Fulvivirga kasyanovii	RS_GCF_009711405.1	t	aerobe	aerobe	129
Peptostreptococcus anaerobius	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus anaerobius	g__Peptostreptococcus	s__Peptostreptococcus anaerobius	RS_GCF_000381525.1	t	anaerobe	anaerobe	125
Lutibacter litoralis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__Lutibacter litoralis	g__Lutibacter	s__Lutibacter litoralis	GB_GCA_014646675.1	t	aerobe	aerobe	125
Flavimobilis marinus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Flavimobilis;s__Flavimobilis marinus	g__Flavimobilis	s__Flavimobilis marinus	RS_GCF_900113055.1	t	aerobe	aerobe	124
Desulfitobacterium dehalogenans	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium dehalogenans	g__Desulfitobacterium	s__Desulfitobacterium dehalogenans	RS_GCF_000243155.2	t	anaerobe	anaerobe	115
Lonsdalea quercina	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lonsdalea;s__Lonsdalea quercina	g__Lonsdalea	s__Lonsdalea quercina	RS_GCF_000688655.1	t	aerobe	aerobe	111
Stakelama pacifica	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas pacifica	g__Sphingomonas	s__Sphingomonas pacifica	RS_GCF_004361835.1	t	aerobe	aerobe	109
Salisediminibacterium halotolerans	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Salisediminibacteriaceae;g__Salisediminibacterium;s__Salisediminibacterium halotolerans	g__Salisediminibacterium	s__Salisediminibacterium halotolerans	RS_GCF_003814815.1	t	facultative anaerobe	aerobe	106
Petrotoga miotherma	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Petrotoga;s__Petrotoga miotherma	g__Petrotoga	s__Petrotoga miotherma	RS_GCF_002895605.1	t	anaerobe	anaerobe	106
Desulfoprunum benzoelyticum	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfoprunum;s__Desulfoprunum benzoelyticum	g__Desulfoprunum	s__Desulfoprunum benzoelyticum	RS_GCF_014201505.1	t	anaerobe	anaerobe	103
Halofilum ochraceum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__XJ16;f__Halofilaceae;g__Halofilum;s__Halofilum ochraceum	g__Halofilum	s__Halofilum ochraceum	RS_GCF_001614315.2	t	facultative anaerobe	aerobe	102
Desulfonatronovibrio hydrogenovorans	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronovibrionaceae;g__Desulfonatronovibrio;s__Desulfonatronovibrio hydrogenovorans	g__Desulfonatronovibrio	s__Desulfonatronovibrio hydrogenovorans	RS_GCF_000686525.1	t	anaerobe	anaerobe	102
Megasphaera elsdenii	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii	g__Megasphaera	s__Megasphaera elsdenii	RS_GCF_003010495.1	t	anaerobe	anaerobe	91
Anaerocolumna cellulosilytica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna cellulosilytica	g__Anaerocolumna	s__Anaerocolumna cellulosilytica	RS_GCF_014218335.1	t	obligate anaerobe	anaerobe	84
Desertimonas flava	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Desertimonas;s__Desertimonas flava	g__Desertimonas	s__Desertimonas flava	RS_GCF_003426815.1	t	aerobe	aerobe	74
Cohnella thermotolerans	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella;s__Cohnella thermotolerans	g__Cohnella	s__Cohnella thermotolerans	RS_GCF_000429825.1	t	aerobe	aerobe	70
Alicyclobacillus acidocaldarius	d__Bacteria;p__Firmicutes;c__Alicyclobacillia;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__Alicyclobacillus acidocaldarius	g__Alicyclobacillus	s__Alicyclobacillus acidocaldarius	RS_GCF_000024285.1	t	aerobe	aerobe	69
Rahnella aquatilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella aquatilis	g__Rahnella	s__Rahnella aquatilis	RS_GCF_000241955.1	t	aerobe	aerobe	59
Asaccharospora irregularis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Asaccharospora;s__Asaccharospora irregularis	g__Asaccharospora	s__Asaccharospora irregularis	RS_GCF_900129815.1	t	anaerobe	anaerobe	53
Beutenbergia cavernae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Beutenbergiaceae;g__Beutenbergia;s__Beutenbergia cavernae	g__Beutenbergia	s__Beutenbergia cavernae	RS_GCF_000023105.1	t	aerobe	aerobe	43
Parapedobacter koreensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Parapedobacter;s__Parapedobacter koreensis	g__Parapedobacter	s__Parapedobacter koreensis	RS_GCF_900109365.1	t	aerobe	aerobe	41
Aureimonas altamirensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	g__Aureimonas	s__Aureimonas altamirensis	RS_GCF_001463885.1	t	aerobe,microaerophile	aerobe	35
Stomatobaculum longum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum longum	g__Stomatobaculum	s__Stomatobaculum longum	RS_GCF_000242235.1	t	anaerobe	anaerobe	34
Raineya orbicola	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Thermonemataceae;g__Raineya;s__Raineya orbicola	g__Raineya	s__Raineya orbicola	RS_GCF_002843425.1	t	aerobe	aerobe	31
Arenicella xantha	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__Arenicella xantha	g__Arenicella	s__Arenicella xantha	RS_GCF_003315245.1	t	aerobe	aerobe	27
Sagittula stellata	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sagittula;s__Sagittula stellata	g__Sagittula	s__Sagittula stellata	RS_GCF_000169415.1	t	obligate aerobe	aerobe	26
Bergeyella zoohelcum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella;s__Bergeyella zoohelcum	g__Bergeyella	s__Bergeyella zoohelcum	RS_GCF_000301075.1	t	aerobe,obligate aerobe,microaerophile	aerobe	25
Ornatilinea apprima	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Ornatilinea;s__Ornatilinea apprima	g__Ornatilinea	s__Ornatilinea apprima	RS_GCF_001306115.1	t	anaerobe,obligate anaerobe	anaerobe	24
Paramaledivibacter caminithermalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Caminicellaceae;g__Paramaledivibacter;s__Paramaledivibacter caminithermalis	g__Paramaledivibacter	s__Paramaledivibacter caminithermalis	RS_GCF_900142245.1	t	anaerobe	anaerobe	24
Oryzihumus leptocrescens	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Oryzihumus;s__Oryzihumus leptocrescens	g__Oryzihumus	s__Oryzihumus leptocrescens	RS_GCF_006716205.1	t	aerobe	aerobe	17
Clostridium butyricum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	g__Clostridium	s__Clostridium butyricum	RS_GCF_006742065.1	t	anaerobe	anaerobe	13
Martelella mediterranea	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella;s__Martelella mediterranea	g__Martelella	s__Martelella mediterranea	RS_GCF_002043005.1	t	aerobe	aerobe	13
Camelimonas lactis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Camelimonas;s__Camelimonas lactis	g__Camelimonas	s__Camelimonas lactis	RS_GCF_004342915.1	t	aerobe	aerobe	6
Parapedobacter luteus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Parapedobacter;s__Parapedobacter luteus	g__Parapedobacter	s__Parapedobacter luteus	RS_GCF_900168055.1	f	aerobe	aerobe	5278
Bacteroides acidifaciens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens	g__Bacteroides	s__Bacteroides acidifaciens	RS_GCF_000613385.1	f	anaerobe	anaerobe	5277
Novosphingobium piscinae	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium piscinae	g__Novosphingobium	s__Novosphingobium piscinae	RS_GCF_014230355.1	f	aerobe	aerobe	5277
Mobiluncus mulieris	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus mulieris	g__Mobiluncus	s__Mobiluncus mulieris	RS_GCF_000160615.1	f	anaerobe,obligate anaerobe	anaerobe	5277
Streptomyces caeruleatus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces caeruleatus	g__Streptomyces	s__Streptomyces caeruleatus	RS_GCF_001514235.1	f	aerobe	aerobe	5276
Trichococcus ilyis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Trichococcus;s__Trichococcus ilyis	g__Trichococcus	s__Trichococcus ilyis	RS_GCF_900109135.1	f	anaerobe	anaerobe	5276
Thermobifida halotolerans	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Thermobifida;s__Thermobifida halotolerans	g__Thermobifida	s__Thermobifida halotolerans	RS_GCF_001660385.1	f	aerobe	aerobe	5275
Lactobacillus mucosae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus mucosae	g__Limosilactobacillus	s__Limosilactobacillus mucosae	RS_GCF_001436025.1	f	anaerobe	anaerobe	5274
Alistipes senegalensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes senegalensis	g__Alistipes	s__Alistipes senegalensis	RS_GCF_000312145.1	f	anaerobe	anaerobe	5273
Thermoanaerobacter wiegelii	d__Bacteria;p__Firmicutes_A;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter;s__Thermoanaerobacter wiegelii	g__Thermoanaerobacter	s__Thermoanaerobacter wiegelii	RS_GCF_000147695.2	f	anaerobe	anaerobe	5273
Streptomyces fumigatiscleroticus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces fumigatiscleroticus	g__Streptomyces	s__Streptomyces fumigatiscleroticus	GB_GCA_014647975.1	f	aerobe	aerobe	5272
Bacillus daliensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus daliensis	g__Alkalicoccus	s__Alkalicoccus daliensis	RS_GCF_900103955.1	f	facultative anaerobe	aerobe	5271
Sphingomonas aerolata	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas aerolata	g__Sphingomonas	s__Sphingomonas aerolata	RS_GCF_003046295.1	f	aerobe	aerobe	5270
Staphylococcus lugdunensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lugdunensis	g__Staphylococcus	s__Staphylococcus lugdunensis	RS_GCF_002901705.1	f	aerobe,microaerophile	aerobe	5268
Halosimplex rubrum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosimplex;s__Halosimplex rubrum	g__Halosimplex	s__Halosimplex rubrum	RS_GCF_013415885.1	f	aerobe	aerobe	5266
Kushneria sinocarnis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Kushneria;s__Kushneria sinocarnis	g__Kushneria	s__Kushneria sinocarnis	RS_GCF_003633775.1	f	aerobe	aerobe	5266
Chitinophaga terrae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__Chitinophaga terrae	g__Chitinophaga	s__Chitinophaga terrae	RS_GCF_900107795.1	f	aerobe	aerobe	5265
Pseudomonas mandelii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii	g__Pseudomonas_E	s__Pseudomonas_E mandelii	RS_GCF_900106065.1	f	aerobe	aerobe	5264
Streptococcus cuniculi	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cuniculi	g__Streptococcus	s__Streptococcus cuniculi	RS_GCF_001921845.1	f	microaerophile	aerobe	5263
Methylocystis bryophila	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis bryophila	g__Methylocystis	s__Methylocystis bryophila	RS_GCF_002117405.1	f	aerobe	aerobe	5262
Acinetobacter towneri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter towneri	g__Acinetobacter	s__Acinetobacter towneri	RS_GCF_000368785.1	f	aerobe	aerobe	5261
Bacteroides graminisolvens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides graminisolvens	g__Bacteroides	s__Bacteroides graminisolvens	RS_GCF_000428125.1	f	anaerobe	anaerobe	5261
Lentibacillus juripiscarius	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Lentibacillus;s__Lentibacillus juripiscarius	g__Lentibacillus	s__Lentibacillus juripiscarius	GB_GCA_001311805.1	f	aerobe	aerobe	5254
Paenibacillus chitinolyticus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_F;s__Paenibacillus_F chitinolyticus	g__Paenibacillus_F	s__Paenibacillus_F chitinolyticus	RS_GCF_000739915.1	f	aerobe	aerobe	5253
Comamonas badia	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas_C;s__Comamonas_C badia	g__Comamonas_C	s__Comamonas_C badia	RS_GCF_000484635.1	f	aerobe	aerobe	5252
Bacillus sinesaloumensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_L;g__Ferdinandcohnia;s__Ferdinandcohnia sinesaloumensis	g__Ferdinandcohnia	s__Ferdinandcohnia sinesaloumensis	RS_GCF_900156865.1	f	aerobe	aerobe	5251
Rhodopseudomonas pentothenatexigens	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas pentothenatexigens	g__Rhodopseudomonas	s__Rhodopseudomonas pentothenatexigens	RS_GCF_900218015.1	f	anaerobe	anaerobe	5250
Nocardioides kongjuensis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides kongjuensis	g__Nocardioides	s__Nocardioides kongjuensis	RS_GCF_013409625.1	f	aerobe	aerobe	5248
Marinilactibacillus piezotolerans	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Marinilactibacillus;s__Marinilactibacillus piezotolerans	g__Marinilactibacillus	s__Marinilactibacillus piezotolerans	RS_GCF_900114235.1	f	facultative anaerobe	aerobe	5248
Archaeoglobus profundus	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__Archaeoglobus_B profundus	g__Archaeoglobus_B	s__Archaeoglobus_B profundus	RS_GCF_000025285.1	f	anaerobe	anaerobe	5247
Pseudomonas weihenstephanensis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E weihenstephanensis	g__Pseudomonas_E	s__Pseudomonas_E weihenstephanensis	RS_GCF_001043055.1	f	aerobe	aerobe	5247
Campylobacter insulaenigrae	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D insulaenigrae	g__Campylobacter_D	s__Campylobacter_D insulaenigrae	RS_GCF_000816185.1	f	microaerophile	aerobe	5247
Sediminispirochaeta smaragdinae	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta smaragdinae	g__Sediminispirochaeta	s__Sediminispirochaeta smaragdinae	RS_GCF_000143985.1	f	anaerobe	anaerobe	5247
Prevotella micans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella micans	g__Prevotella	s__Prevotella micans	RS_GCF_000614105.1	f	anaerobe	anaerobe	5245
Streptococcus alactolyticus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus alactolyticus	g__Streptococcus	s__Streptococcus alactolyticus	RS_GCF_012277075.1	f	aerobe,microaerophile	aerobe	5241
Meridianimaribacter flavus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Meridianimaribacter;s__Meridianimaribacter flavus	g__Meridianimaribacter	s__Meridianimaribacter flavus	RS_GCF_004366715.1	f	aerobe	aerobe	5241
Peptoniphilus harei	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei	g__Peptoniphilus_A	s__Peptoniphilus_A harei	RS_GCF_900454685.1	f	anaerobe	anaerobe	5239
Enterococcus viikkiensis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A viikkiensis	g__Enterococcus_A	s__Enterococcus_A viikkiensis	RS_GCF_005405345.1	f	microaerophile	aerobe	5238
Bradyrhizobium canariense	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium canariense	g__Bradyrhizobium	s__Bradyrhizobium canariense	RS_GCF_002108845.1	f	aerobe	aerobe	5238
Pigmentiphaga aceris	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pigmentiphaga;s__Pigmentiphaga aceris	g__Pigmentiphaga	s__Pigmentiphaga aceris	RS_GCF_008119665.1	f	aerobe	aerobe	5238
Sphingosinicella soli	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__Sphingosinicella soli	g__Sphingosinicella	s__Sphingosinicella soli	RS_GCF_014199685.1	f	aerobe	aerobe	5236
Dyadobacter soli	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter;s__Dyadobacter soli	g__Dyadobacter	s__Dyadobacter soli	RS_GCF_900101885.1	f	aerobe	aerobe	5235
Microbacterium chocolatum	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium chocolatum	g__Microbacterium	s__Microbacterium chocolatum	RS_GCF_001652465.1	f	microaerophile	aerobe	5234
Chryseobacterium hungaricum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas hungarica	g__Epilithonimonas	s__Epilithonimonas hungarica	RS_GCF_900102265.1	f	aerobe	aerobe	5234
Planomicrobium glaciei	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Planococcus;s__Planococcus glaciei	g__Planococcus	s__Planococcus glaciei	RS_GCF_900099655.1	f	aerobe	aerobe	5233
Pseudoxanthomonas spadix	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A spadix	g__Pseudoxanthomonas_A	s__Pseudoxanthomonas_A spadix	RS_GCF_003703395.1	f	aerobe,microaerophile	aerobe	5229
Marinimicrobium agarilyticum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Marinimicrobium;s__Marinimicrobium agarilyticum	g__Marinimicrobium	s__Marinimicrobium agarilyticum	RS_GCF_000423345.1	f	aerobe	aerobe	5229
Deinococcus proteolyticus	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus proteolyticus	g__Deinococcus	s__Deinococcus proteolyticus	RS_GCF_000190555.1	f	aerobe,microaerophile	aerobe	5228
Georgenia satyanarayanai	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Oceanitalea;s__Oceanitalea nanhaiensis	g__Oceanitalea	s__Oceanitalea nanhaiensis	RS_GCF_900116375.1	f	aerobe	aerobe	5228
Agromyces mediolanus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces;s__Agromyces mediolanus	g__Agromyces	s__Agromyces mediolanus	GB_GCA_014648575.1	f	aerobe	aerobe	5219
Flavobacterium pallidum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium pallidum	g__Flavobacterium	s__Flavobacterium pallidum	RS_GCF_003097535.1	f	aerobe	aerobe	5218
Halomonas cerina	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas cerina	g__Halomonas	s__Halomonas cerina	RS_GCF_014192215.1	f	aerobe	aerobe	5218
Blautia hominis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hominis	g__Blautia	s__Blautia hominis	RS_GCF_002270465.1	f	anaerobe	anaerobe	5216
Cephaloticoccus capnophilus	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Cephaloticoccus;s__Cephaloticoccus capnophilus	g__Cephaloticoccus	s__Cephaloticoccus capnophilus	RS_GCF_001580045.1	f	obligate aerobe	aerobe	5215
Henriciella algicola	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Henriciella;s__Henriciella algicola	g__Henriciella	s__Henriciella algicola	RS_GCF_003576245.1	f	aerobe	aerobe	5214
Gluconacetobacter azotocaptans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Gluconacetobacter;s__Gluconacetobacter azotocaptans	g__Gluconacetobacter	s__Gluconacetobacter azotocaptans	RS_GCF_014174355.1	f	aerobe	aerobe	5213
Veillonella atypica	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	g__Veillonella	s__Veillonella atypica	RS_GCF_002959915.1	f	anaerobe	anaerobe	5206
Flavobacterium collinsii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium collinsii	g__Flavobacterium	s__Flavobacterium collinsii	RS_GCF_902804485.1	f	aerobe	aerobe	5205
Geobacillus thermocatenulatus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Geobacillus;s__Geobacillus thermocatenulatus	g__Geobacillus	s__Geobacillus thermocatenulatus	RS_GCF_002217655.1	f	facultative anaerobe	aerobe	5205
Rubritalea profundi	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Rubritalea;s__Rubritalea profundi	g__Rubritalea	s__Rubritalea profundi	RS_GCF_002954445.1	f	facultative anaerobe	aerobe	5205
Cellulophaga tyrosinoxydans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga tyrosinoxydans	g__Cellulophaga	s__Cellulophaga tyrosinoxydans	RS_GCF_900176415.1	f	aerobe	aerobe	5203
Kitasatospora arboriphila	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Williamsia;s__Williamsia arboriphila	g__Williamsia	s__Williamsia arboriphila	RS_GCF_000717275.1	f	aerobe	aerobe	5202
